edge_id,edge_rate_all
1031202447_496663127_0,0.14
10725638754_3299018437_0,0.021505376344086023
10829398901_2638675157_0,0.014705882352941176
10966348619_2471329904_0,0.024096385542168676
10966348619_53416997_0,0.03896103896103896
11032190191_316373854_0,0.013157894736842105
11040659255_53479369_0,0.010416666666666666
11232828721_11716456683_0,0.08235294117647059
11232898869_11232898868_0,0.06666666666666667
11232898936_53580831_0,0.012987012987012988
11232898993_53410408_0,0.009174311926605505
1142782131_53551792_0,0.00980392156862745
1142902939_53498437_0,0.02608695652173913
1142903104_13202666793_0,0.0410958904109589
1142903920_53412771_0,0.010638297872340425
1142904218_1192150405_0,0.010752688172043012
1142904218_2713292536_0,0.009708737864077669
1153131780_53639900_0,0.010752688172043012
1153238753_53462486_0,0.0125
1153239022_53544707_0,0.009523809523809525
1153239022_53663431_0,0.012048192771084338
1153329197_53538985_0,0.010869565217391304
11603196290_1180079551_0,0.011235955056179775
1160692043_53604257_0,0.011235955056179775
1177715646_53455177_0,0.010752688172043012
1177715708_1177715719_0,0.012658227848101266
1177715716_53292980_0,0.023255813953488372
1177715720_1177715646_0,0.012345679012345678
1177715723_3344172823_0,0.012345679012345678
1177715826_1179397922_0,0.014084507042253521
1177715829_1234901473_0,0.011627906976744186
1177715830_1177715829_0,0.02127659574468085
1177776755_53458244_0,0.013513513513513514
1178648999_53448743_0,0.023255813953488372
1178722234_1178722454_0,0.014925373134328358
1178722259_1178722440_0,0.02666666666666667
1178722301_53442383_0,0.011904761904761904
1178722330_1178722479_0,0.013333333333333334
1178722439_1178722269_0,0.01282051282051282
1178722440_1178722259_0,0.021505376344086023
1178722440_53462244_0,0.01020408163265306
1178722454_1178722234_0,0.010526315789473684
1178727209_53332719_0,0.013333333333333334
1178750108_1178750114_0,0.02247191011235955
1178750114_1178750108_0,0.022988505747126436
11793715342_53640736_0,0.02040816326530612
1179392829_1178739350_0,0.020618556701030927
1179397947_1179397956_0,0.021052631578947368
1179397960_1179397940_0,0.0125
1179412679_1179412700_0,0.011111111111111112
1179412700_3298689261_0,0.046511627906976744
1179459672_1179459754_0,0.013888888888888888
1179459693_450714993_0,0.010752688172043012
1179459693_53582205_0,0.011494252873563218
1179459694_1179459737_0,0.011764705882352941
1179459724_1179459693_0,0.07692307692307693
1179459724_53582203_0,0.04054054054054054
1179459737_1179459694_0,0.01020408163265306
1179459754_1179459724_0,0.03125
1179459773_2859302267_0,0.05357142857142857
1179459773_3306923798_0,0.010752688172043012
1179513000_455707309_0,0.011764705882352941
1179528347_1179528247_0,0.009900990099009901
1179528413_53545438_0,0.012195121951219513
1179795897_53511571_0,0.010752688172043012
1179795931_1179796106_0,0.011494252873563218
1179795960_1179795931_0,0.010101010101010102
1179795960_1710317933_0,0.00980392156862745
1179796012_316357138_0,0.022222222222222223
1179796036_53447618_0,0.02247191011235955
1179796039_53560253_0,0.01282051282051282
1179796056_1710317933_0,0.023809523809523808
1179796056_53529686_0,0.0125
1179796096_53511582_0,0.010416666666666666
1179796106_1179796039_0,0.010526315789473684
1179796106_1179796096_0,0.014705882352941176
1179956582_2859302272_0,0.02631578947368421
1180005819_4214349299_0,0.01098901098901099
1180005819_53684762_0,0.014492753623188406
1180005831_4139816155_0,0.010101010101010102
1180005834_1180005838_0,0.012195121951219513
1180005838_1180005834_0,0.014285714285714285
1180187423_1180187701_0,0.010638297872340425
1180187423_450537810_0,0.023255813953488372
1180187436_1180187423_0,0.028985507246376812
1180187438_53472419_0,0.009259259259259259
1180187459_53605633_0,0.011764705882352941
1180187461_53481638_0,0.012048192771084338
1180187478_1180187596_0,0.013513513513513514
1180187558_1180187436_0,0.010869565217391304
1180187558_53507801_0,0.009433962264150943
1180187568_1180187588_0,0.012195121951219513
1180187579_1179796074_0,0.012658227848101266
1180187579_1180187485_0,0.011627906976744186
1180187687_496905141_0,0.012048192771084338
1180187697_53481665_0,0.013333333333333334
1180187701_1180187423_0,0.014925373134328358
1180187701_1180187438_0,0.02
1180187704_1179796074_0,0.01
1181085486_53441258_0,0.009345794392523364
1181378741_6610389586_0,0.019230769230769232
11819654398_3730778281_0,0.009615384615384616
1182471954_53482965_0,0.022727272727272728
1182471991_53482965_0,0.012048192771084338
1185580621_53663953_0,0.011904761904761904
1188018767_3937059795_0,0.05555555555555555
1188018767_53615850_0,0.01
1188388071_3886439879_0,0.056818181818181816
1188388114_1188388110_0,0.02127659574468085
1188388115_1188388071_0,0.05128205128205128
1188388115_1188388110_0,0.0125
1188394181_1188388110_0,0.010638297872340425
1191535148_387187387_0,0.02564102564102564
1192150246_1188388114_0,0.04938271604938271
1192150246_1192150256_0,0.022727272727272728
1192150405_1192150413_0,0.011494252873563218
1192150406_53432331_0,0.009345794392523364
1192150413_1192150405_0,0.0125
1192150413_1192150406_0,0.02197802197802198
1192211510_316349604_0,0.011363636363636364
1202737296_53673323_0,0.09821428571428571
1202887263_5425825491_0,0.01020408163265306
12083473151_1153329165_0,0.01282051282051282
1212604555_53559323_0,0.13095238095238096
1215446668_53594021_0,0.011764705882352941
1216963412_53707559_0,0.01
